		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ln_ntl	ec_term1	SR	ec_term2	SR	ec_term3	SR	ec_termd2	SR	ec_termd2	SR	ec_termd3	SR
																						
ln_pdrb	ln_pdrb	0.971***	0.972***	0.965***	1.236***	1.325***	0.996***	0.847***	0.847***	0.847***	1.247***		1.242***		1.058***		1.205***		1.265***		0.918***	
		(0.0234)	(0.0234)	(0.0236)	(0.0913)	(0.0840)	(0.0867)	(0.134)	(0.134)	(0.134)	(0.0439)		(0.0452)		(0.0487)		(0.0471)		(0.0490)		(0.0576)	
2013.year	year = 2013							0.125***	0.125***	0.125***												
								(0.0262)	(0.0262)	(0.0262)												
2014.year	year = 2014							0.165***	0.165***	0.165***												
								(0.0390)	(0.0390)	(0.0390)												
2015.year	year = 2015							0.271***	0.271***	0.271***												
								(0.0438)	(0.0438)	(0.0438)												
2016.year	year = 2016							0.106**	0.106**	0.106**												
								(0.0508)	(0.0508)	(0.0508)												
2017.year	year = 2017							0.123*	0.123*	0.123*												
								(0.0620)	(0.0620)	(0.0620)												
2018.year	year = 2018							0.183**	0.183**	0.183**												
								(0.0675)	(0.0675)	(0.0675)												
2019.year	year = 2019							0.241***	0.241***	0.241***												
								(0.0657)	(0.0657)	(0.0657)												
2020.year	year = 2020							0.0990	-0.148***	0.0990												
								(0.0709)	(0.0292)	(0.0709)												
2021.year	year = 2021							0.120	-0.127***	0.120												
								(0.0836)	(0.0189)	(0.0836)												
2022.year	year = 2022							0.247***		-0.0873***												
								(0.0854)		(0.0208)												
2023.year	year = 2023							0.456***	0.456***	0.121***												
								(0.0867)	(0.0867)	(0.0210)												
2024.year	year = 2024							0.334***	0.334***													
								(0.0916)	(0.0916)													
covid	covid		-0.0632			-0.114***			0.247***				-0.0599***						-0.0850***			
			(0.0592)			(0.0220)			(0.0854)				(0.0176)						(0.0208)			
scarring	scarring			0.170***			0.161***			0.334***					0.193***						0.208***	
				(0.0587)			(0.0228)			(0.0916)					(0.0186)						(0.0245)	
2022o.year	year = 2022, omitted								-													
																						
2024o.year	year = 2024, omitted									-												
																						
ec_term1	ec_term1											-0.733***										
												(0.0406)										
D.ln_pdrb	ln_pdrb = D,											0.276**		0.169		0.393***		0.239**		0.119		0.427***
												(0.131)		(0.144)		(0.119)		(0.109)		(0.109)		(0.109)
ec_term2	ec_term2													-0.746***								
														(0.0434)								
D.covid	covid = D,													-0.148***						-0.148***		
														(0.0263)						(0.0349)		
ec_term3	ec_term3															-0.791***						
																(0.0373)						
D.scarring	scarring = D,															-0.284***						-0.287***
																(0.0580)						(0.0494)
ec_termd2																		-0.804***		-0.826***		
																		(0.0241)		(0.0243)		
ec_termd3																						-0.845***
																						(0.0240)
Constant	Constant	-11.67***	-11.66***	-11.64***	-14.45***	-15.36***	-11.96***	-10.55***	-10.55***	-10.55***		-10.74***		-10.88***		-10.05***		-11.36***		-12.17***		-9.419***
		(0.239)	(0.239)	(0.240)	(0.960)	(0.886)	(0.911)	(1.365)	(1.365)	(1.365)		(0.639)		(0.685)		(0.514)		(0.540)		(0.581)		(0.594)
																						
Observations		1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,734	1,734	1,734	1,734	1,734	1,734	.	.	.	.	.	.
R-squared		0.545	0.545	0.547	0.392	0.408	0.413	0.455	0.455	0.455												
OLS		plain	Covid	Scarring																		
DFE																	plain	plain	Covid	Covid	Scarring	Scarring
PMG											plain	plain	Covid	Covid	Scarring	Scarring						
Number of prov					34	34	34	34	34	34												
TWFE								plain	Covid	Scarring												
FE					plain	Covid	Scarring															
Robust standard errors in parentheses																						
*** p<0.01, ** p<0.05, * p<0.1																						
