		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)
VARIABLES	LABELS	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	ec_dfe_sc	SR	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb
																																													
ec_dfe_co					-0.0332***								-0.0332***												-0.0332***												-0.0332***								
					(0.00955)								(0.00955)												(0.00955)												(0.00955)								
LD.ln_pdrb	ln_pdrb = L,		-0.602***		-0.605***		-0.654***		-0.654***		-0.602***		-0.605***		-0.654***	-0.620***	-0.827***	-1.029***	-0.578***	-0.758***	-0.931***		-0.602***		-0.605***		-0.654***	-0.620***	-0.827***	-1.029***	-0.578***	-0.758***	-0.931***		-0.602***		-0.605***		-0.654***	-0.620***	-0.827***	-1.029***	-0.578***	-0.758***	-0.931***
			(0.0255)		(0.0263)		(0.0265)		(0.0265)		(0.0255)		(0.0263)		(0.0265)	(0.0349)	(0.0472)	(0.0623)	(0.0339)	(0.0415)	(0.0637)		(0.0255)		(0.0263)		(0.0265)	(0.0349)	(0.0472)	(0.0623)	(0.0339)	(0.0415)	(0.0637)		(0.0255)		(0.0263)		(0.0265)	(0.0349)	(0.0472)	(0.0623)	(0.0339)	(0.0415)	(0.0637)
L2D.ln_pdrb	ln_pdrb = L2,		-0.551***		-0.549***		-0.583***		-0.583***		-0.551***		-0.549***		-0.583***	-0.597***	-0.826***	-1.014***	-0.539***	-0.753***	-0.908***		-0.551***		-0.549***		-0.583***	-0.597***	-0.826***	-1.014***	-0.539***	-0.753***	-0.908***		-0.551***		-0.549***		-0.583***	-0.597***	-0.826***	-1.014***	-0.539***	-0.753***	-0.908***
			(0.0270)		(0.0274)		(0.0277)		(0.0277)		(0.0270)		(0.0274)		(0.0277)	(0.0332)	(0.0454)	(0.0633)	(0.0313)	(0.0402)	(0.0644)		(0.0270)		(0.0274)		(0.0277)	(0.0332)	(0.0454)	(0.0633)	(0.0313)	(0.0402)	(0.0644)		(0.0270)		(0.0274)		(0.0277)	(0.0332)	(0.0454)	(0.0633)	(0.0313)	(0.0402)	(0.0644)
L3D.ln_pdrb	ln_pdrb = L3,		-0.507***		-0.500***		-0.544***		-0.544***		-0.507***		-0.500***		-0.544***	-0.546***	-0.755***	-0.963***	-0.473***	-0.683***	-0.860***		-0.507***		-0.500***		-0.544***	-0.546***	-0.755***	-0.963***	-0.473***	-0.683***	-0.860***		-0.507***		-0.500***		-0.544***	-0.546***	-0.755***	-0.963***	-0.473***	-0.683***	-0.860***
			(0.0265)		(0.0270)		(0.0270)		(0.0270)		(0.0265)		(0.0270)		(0.0270)	(0.0400)	(0.0500)	(0.0669)	(0.0363)	(0.0469)	(0.0678)		(0.0265)		(0.0270)		(0.0270)	(0.0400)	(0.0500)	(0.0669)	(0.0363)	(0.0469)	(0.0678)		(0.0265)		(0.0270)		(0.0270)	(0.0400)	(0.0500)	(0.0669)	(0.0363)	(0.0469)	(0.0678)
L4D.ln_pdrb	ln_pdrb = L4,		0.264***		0.267***		0.270***		0.270***		0.264***		0.267***		0.270***	0.199***	0.0226	-0.103*	0.278***	0.0892**	-0.0135		0.264***		0.267***		0.270***	0.199***	0.0226	-0.103*	0.278***	0.0892**	-0.0135		0.264***		0.267***		0.270***	0.199***	0.0226	-0.103*	0.278***	0.0892**	-0.0135
			(0.0250)		(0.0248)		(0.0251)		(0.0251)		(0.0250)		(0.0248)		(0.0251)	(0.0306)	(0.0302)	(0.0527)	(0.0335)	(0.0346)	(0.0552)		(0.0250)		(0.0248)		(0.0251)	(0.0306)	(0.0302)	(0.0527)	(0.0335)	(0.0346)	(0.0552)		(0.0250)		(0.0248)		(0.0251)	(0.0306)	(0.0302)	(0.0527)	(0.0335)	(0.0346)	(0.0552)
