		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	__ec	SR	__ec	SR	__ec	SR
																
ln_ntl	ln_ntl	0.561***	0.560***	0.560***	0.317***	0.304***	0.205***	0.0649**	0.0649**	0.0649**	0.529***		0.481***		0.478***	
		(0.0119)	(0.0118)	(0.0119)	(0.0344)	(0.0318)	(0.0334)	(0.0250)	(0.0250)	(0.0250)	(0.0309)		(0.0270)		(0.0353)	
2013.year	year = 2013							0.0481***	0.0481***	0.0481***						
								(0.00517)	(0.00517)	(0.00517)						
2014.year	year = 2014							0.0964***	0.0964***	0.0964***						
								(0.00901)	(0.00901)	(0.00901)						
2015.year	year = 2015							0.141***	0.141***	0.141***						
								(0.0132)	(0.0132)	(0.0132)						
2016.year	year = 2016							0.201***	0.201***	0.201***						
								(0.0133)	(0.0133)	(0.0133)						
2017.year	year = 2017							0.248***	0.248***	0.248***						
								(0.0145)	(0.0145)	(0.0145)						
2018.year	year = 2018							0.296***	0.296***	0.296***						
								(0.0168)	(0.0168)	(0.0168)						
2019.year	year = 2019							0.335***	0.335***	0.335***						
								(0.0188)	(0.0188)	(0.0188)						
2020.year	year = 2020							0.332***	-0.0812***	0.332***						
								(0.0180)	(0.00733)	(0.0180)						
2021.year	year = 2021							0.369***	-0.0442***	0.369***						
								(0.0186)	(0.00328)	(0.0186)						
2022.year	year = 2022							0.413***		-0.0850***						
								(0.0206)		(0.0116)						
2023.year	year = 2023							0.449***	0.449***	-0.0493***						
								(0.0216)	(0.0216)	(0.0110)						
2024.year	year = 2024							0.498***	0.498***							
								(0.0265)	(0.0265)							
covid	covid		0.102**			0.121***			0.413***				0.106***			
			(0.0438)			(0.0121)			(0.0206)				(0.0195)			
scarring	scarring			0.0313			0.186***			0.498***					0.0403	
				(0.0446)			(0.0177)			(0.0265)					(0.0257)	
2022o.year	year = 2022, omitted								-							
																
2024o.year	year = 2024, omitted									-						
																
__ec												-0.155***		-0.175***		-0.171***
												(0.0110)		(0.0118)		(0.0117)
D.ln_ntl	ln_ntl = D,											-0.0274***		-0.0317***		-0.0271***
												(0.00519)		(0.00520)		(0.00513)
D.covid	covid = D,													-0.0419***		
														(0.00739)		
D.scarring	scarring = D,															0.0822***
																(0.0104)
Constant	Constant	11.33***	11.31***	11.32***	10.98***	10.93***	10.77***	10.35***	10.35***	10.35***		1.758***		1.970***		1.924***
		(0.0278)	(0.0297)	(0.0305)	(0.0499)	(0.0465)	(0.0500)	(0.0433)	(0.0433)	(0.0433)		(0.122)		(0.130)		(0.127)
																
Observations		1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	.	.	.	.	.	.
R-squared		0.545	0.546	0.545	0.392	0.471	0.529	0.837	0.837	0.837						
OLS		plain	Covid	Scarring												
DFE											plain	plain	Covid	Covid	Scarring	Scarring
Number of prov					34	34	34	34	34	34						
TWFE								plain	Covid	Scarring						
FE					plain	Covid	Scarring									
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
