		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)
VARIABLES	LABELS	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	__ec	SR	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR
																																																																																																	
__ec			-0.155***		-0.175***		-0.171***		-0.155***		-0.175***		-0.171***		-0.155***		-0.175***		-0.171***		-0.155***		-0.175***		-0.171***		-0.154***		-0.189***		-0.167***		-0.154***		-0.189***		-0.167***		-0.154***		-0.189***		-0.167***		-0.154***		-0.189***		-0.167***		-0.154***		-0.189***		-0.167***		0.0314***		0.0185***		0.0251***		-0.833***		-0.846***		-0.881***		-0.833***		-0.846***		-0.881***																								
			(0.0110)		(0.0118)		(0.0117)		(0.0110)		(0.0118)		(0.0117)		(0.0110)		(0.0118)		(0.0117)		(0.0110)		(0.0118)		(0.0117)		(0.0114)		(0.0129)		(0.0119)		(0.0114)		(0.0129)		(0.0119)		(0.0114)		(0.0129)		(0.0119)		(0.0114)		(0.0129)		(0.0119)		(0.0114)		(0.0129)		(0.0119)		(0.00453)		(0.00454)		(0.00469)		(0.0179)		(0.0171)		(0.0163)		(0.0179)		(0.0171)		(0.0163)																								
D.ln_ntl	ln_ntl = D,		-0.0274***		-0.0317***		-0.0271***		-0.0274***		-0.0317***		-0.0271***		-0.0274***		-0.0317***		-0.0271***		-0.0274***		-0.0317***		-0.0271***		-0.0192***		-0.0237***		-0.0195***		-0.0192***		-0.0237***		-0.0195***		-0.0192***		-0.0237***		-0.0195***		-0.0192***		-0.0237***		-0.0195***		-0.0192***		-0.0237***		-0.0195***		-0.00305		0.00116		-0.000875		-0.00305		0.00251		-0.000147		-0.00305		0.00251		-0.000147		0.0130**		0.0128**		0.00275		0.0130**		0.0128**		0.00275		0.0130**		0.0128**		0.00275		0.0130**		0.0128**		0.00275
			(0.00519)		(0.00520)		(0.00513)		(0.00519)		(0.00520)		(0.00513)		(0.00519)		(0.00520)		(0.00513)		(0.00519)		(0.00520)		(0.00513)		(0.00527)		(0.00523)		(0.00517)		(0.00527)		(0.00523)		(0.00517)		(0.00527)		(0.00523)		(0.00517)		(0.00527)		(0.00523)		(0.00517)		(0.00527)		(0.00523)		(0.00517)		(0.00358)		(0.00349)		(0.00356)		(0.00358)		(0.00338)		(0.00320)		(0.00358)		(0.00338)		(0.00320)		(0.00593)		(0.00556)		(0.00526)		(0.00593)		(0.00556)		(0.00526)		(0.00593)		(0.00556)		(0.00526)		(0.00593)		(0.00556)		(0.00526)
ln_ntl	ln_ntl	0.529***		0.481***		0.478***		0.529***		0.481***		0.478***		0.529***		0.481***		0.478***		0.529***		0.481***		0.478***		0.508***		0.426***		0.476***		0.508***		0.426***		0.476***		0.508***		0.426***		0.476***		0.508***		0.426***		0.476***		0.508***		0.426***		0.476***								0.0377***		0.0112**		0.0160***		0.0377***		0.0112**		0.0160***		0.332***		-0.0617		0.589**		0.332***		-0.0617		0.589**		0.332***		-0.0617		0.589**		0.332***		-0.0617		0.589**	
		(0.0309)		(0.0270)		(0.0353)		(0.0309)		(0.0270)		(0.0353)		(0.0309)		(0.0270)		(0.0353)		(0.0309)		(0.0270)		(0.0353)		(0.0338)		(0.0274)		(0.0365)		(0.0338)		(0.0274)		(0.0365)		(0.0338)		(0.0274)		(0.0365)		(0.0338)		(0.0274)		(0.0365)		(0.0338)		(0.0274)		(0.0365)								(0.00549)		(0.00529)		(0.00472)		(0.00549)		(0.00529)		(0.00472)		(0.114)		(0.181)		(0.283)		(0.114)		(0.181)		(0.283)		(0.114)		(0.181)		(0.283)		(0.114)		(0.181)		(0.283)	
covid	covid			0.106***						0.106***						0.106***						0.106***						0.125***						0.125***						0.125***						0.125***						0.125***						0.797***						-0.0456***						-0.0456***						-0.0668						-0.0668						-0.0668						-0.0668			
				(0.0195)						(0.0195)						(0.0195)						(0.0195)						(0.0181)						(0.0181)						(0.0181)						(0.0181)						(0.0181)						(0.254)						(0.00490)						(0.00490)						(0.0947)						(0.0947)						(0.0947)						(0.0947)			
