		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb
																																																																
ln_ntl	ln_ntl	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0649**	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***	0.0547***
		(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0250)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)	(0.0184)
covid	covid		0.413***			0.413***			0.413***			0.413***			0.413***			0.413***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***			0.420***	
			(0.0206)			(0.0206)			(0.0206)			(0.0206)			(0.0206)			(0.0206)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)			(0.0210)	
2013.year	year = 2013	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0481***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***	0.0499***
		(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00517)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)	(0.00428)
2014.year	year = 2014	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0964***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***	0.0991***
		(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00901)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)	(0.00777)
2015.year	year = 2015	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***
